location,domain_profile,company_name,about_the_job,who_can_apply,salary,company_details,start_date,experience,apply_by,applicants,skills,perks,number_of_openings,other_requirements,.NET,AJAX,APIs,ARM Microcontroller,ASP.NET,Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Photoshop,Advanced Excel,Algorithms,Allegro Software,Amazon Web Server (AWS),Amazon Web Services (AWS),American English,Android,Angular 2.0,Angular 7.0,AngularJS,Ansible,Apache,Apache Cassandra,Arduino,Autodesk Maya,Bash,Biology,Blockchain,Blogging,Bootstrap,Business Analysis,Business Research,C Programming,C#,C#.NET,C++ Programming,CCNA,CI/CD,CMS,CSS,Canva,Chemistry,Client Relationship,Cloud Computing,Cloud Firestore,CodeIgniter,Computer Networking,Computer Networks,Content Marketing,Content Writing,Creative Writing,Cross-functional Collaboration,Dart,Data Analysis,Data Analytics,Data Science,Data Structures,Database Testing,Deep Learning,DevOps,Digital Marketing,Distributed Computing,Django,Docker,EAGLE,ERP Implementation and Deployment,Eclipse (IDE),Effective Communication,Elasticsearch,Email Marketing,Embedded Systems,English Proficiency (Spoken),English Proficiency (Written),Enterprise Products,Ethereum,Event Management,Express.js,ExpressJS,Facebook Marketing,FastAPI,Figma,Financial Modeling,Financial literacy,Firebase,Firebase Cloud Messaging,Flask,Flutter,GNU Octave,GUI Testing,Git,Git / SVN.,Git Bash,GitHub,Golang,Google AdWords,Google Analytics,Google Cloud Computing,Google Workspace,GraphQL,HTML,HTML&CSS,Hibernate (Java),Hindi Proficiency (Spoken),Internet of Things (IoT),Investing,Ionic,J2EE,JSON,Java,JavaFX,JavaScript,Jira,Joomla,Kannada Proficiency (Spoken),Kotlin,Kubernetes,LARAVEL,LinkedIn Marketing,Linux,MEAN/MERN Stack,MS SQL Server,MS-Excel,MS-Office,MS-PowerPoint,MS-Word,Machine Learning,Malayalam,Malayalam Proficiency (Spoken),Manual Testing,Market Analysis,Marketing,Materialize,Mathematics,Microsoft Azure,Microsoft PowerApps,Model View Controller(MVC),Mongo,MongoDB,Moodle,MySQL,NLP,Natural Language Processing (NLP),Neural Networks,Next.js,No-SQL,NoSQL,Node.js,None,Objective C,Odoo,Online Teaching,OpenCV,Operations,Oracle,PCB Design,PCB Soldering,PHP,PLC SCADA,Perl,Physics,PostgreSQL,Postman,Power BI,Problem Solving,Product Development,Product Lifecycle Management(PLM),Product Management,Product Roadmap,Product Strategy,Project Management,Python,Quality Assurance/Quality Control (QA/QC),REST API,Raspberry Pi,React,React Native,ReactJS,Redis,Redux,Report Writing,Research and Analytics,Responsive Design,Robotic Process Automation (RPA),Robotics,Ruby on Rails,SAP,SQL,SQLite,SYSTEM ADMINISTRATOR,Salesforce,Search Engine Optimization (SEO),Selenium,Servlets,Shell Scripting,Social Media Marketing,Software Testing,Spring MVC,Statistical Modeling,Stock Trading,Stripe Payment API,Subject Matter Expert (SME),Swift,Tableau,Tailwind CSS,Tamil Proficiency (Spoken),Teaching,Telugu Proficiency (Spoken),Time Management,TypeScript,UI & UX Design,UX Research,UiPath,Unity 3D,Unity Engine,Unreal Engine,User Interface (UI) Development,User-centered Design,VMware,VS Code,Video Editing,Vue Js,Web Application Security,Webflow,Windows Mobile Application Development,Wireframing,WordPress,XML,Xcode,Yii,iOS,jQuery,web3.js,min_salary,max_salary,avg_salary
Gurgaon,Web Developer,Toolify Private Limited,"Company Overview

Toolify Private Limited is a leading recruitment company that collaborates with clients to provide solutions in search and selection, middle management hiring, and project-based employee hiring. With our expertise in the domain, we deliver value-added solutions for all types of businesses, both global and local. Our goal is to deliver top-notch services at an affordable rate and build long-term relationships with our clients.

Job Overview

We are seeking a talented and experienced Web Developer to join our team at Toolify Private Limited. As a Web Developer, you will be responsible for designing, coding, and modifying websites, from layout to functionality. You will contribute to the development of innovative, high-quality web applications that align with our clients' business objectives.

Qualifications and Skills

4 to 6 years of experience as a Web Developer 
Good Communications
Strong proficiency in HTML, CSS, JavaScript, and related web technologies
Experience working with front-end frameworks such as React or Angular
Knowledge of back-end technologies such as Node.js or PHP
Familiarity with version control systems, such as Git
Ability to collaborate with cross-functional teams
Excellent problem-solving skills and attention to detail
Strong communication and interpersonal skills

Roles and Responsibilities

Design, code, and modify websites from layout to functionality, ensuring high-quality user experience
Collaborate with cross-functional teams to define, design, and ship new features
Optimize websites for maximum speed and scalability
Implement responsive design and ensure compatibility across different browsers and devices
Regularly update websites with new content and features
Troubleshoot and debug issues that arise in web applications
Stay up-to-date with industry trends and technologies, and propose innovative solutions


Email- contact@gmail.com
WhatsApp- 9319037707",1. Candidates with minimum 4 years of experience.,"8,00,000 - 12,00,000",Information above is Internshala's interpretation and paraphrasing of what we found on the shared link.,Starts Immediately,4-6 years,28 Apr' 24,0,None,None,Unknown,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,1200000,1000000.0
Indore,3d Environment Artist,Mdroid Network Private Limited,"We are looking for a passionate and talented 3D environment artist to join our dynamic team at Mdroid Network Private Limited! If you have a strong background in Autodesk Maya and love creating immersive worlds, this is the perfect opportunity for you.

Key responsibilities:

1. Create stunning and realistic 3D environments, props, and assets for our Virtual Influencers projects, ensuring they meet technical and artistic requirements
2. Utilize your expertise in lighting, texturing, and shading to create visually appealing and cohesive environments that bring our games to life
3. Stay up to date with the latest trends and techniques in 3D art and gaming industry, sharing your knowledge with the team to push the boundaries of visual excellence
4. Work closely with the production team to meet deadlines, providing regular progress updates and actively participating in team discussions and brainstorming sessions
5. Collaborate with other artists and team members to maintain a consistent art style and ensure seamless integration of your work with the overall game vision",1. Candidates with minimum 1 years of experience.,"2,00,000",We are a character-driven animation studio striving to create dazzling characters and engaging stories to create some amazing and entertaining virtual influencers .,Starts Immediately,1 year,9 Mar' 24,0,Autodesk Maya,Informal dress code,1.0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,200000,200000
Chennai,PHP Developer,CN Solutions,"Company Overview

CN Solutions is a leading IT services and IT consulting company. We work in partnership with our clients to provide first-class solutions for their manpower requirements. With a dedicated team of professionals, we specialize in web technologies, software testing, CRM, ERP, data warehousing, middleware, cyber security, and SAP hiring. We offer a range of services including staffing solutions, leadership hiring, and contract and full-time hirings. Our company has 11-50 employees and is headquartered in Hyderabad.

Job Overview

We are hiring a PHP Developer with 4 to 6 years of experience for our company CN Solutions. As a PHP Developer, you will be responsible for developing and maintaining web applications using PHP frameworks. This is a full-time position located in Chennai, Tamil Nadu, India. We offer competitive salaries and a collaborative work environment.

Qualifications and Skills

4 to 6 years of experience in web application development using PHP
Strong knowledge of PHP frameworks (Laravel, CodeIgniter, etc.)
Proficient in JavaScript, HTML, CSS, and MySQL
Experience with software development life cycle (SDLC)
Knowledge of data analysis and database design
Excellent problem-solving and debugging skills
Ability to work independently and as part of a team
Good communication and collaboration skills

Roles and Responsibilities

Develop and maintain web applications using PHP frameworks
Create technical specifications and perform data analysis
Collaborate with cross-functional teams to design and implement software solutions
Write clean, efficient, and well-structured code
Troubleshoot and debug applications
Optimize application performance and scalability
Stay up-to-date with industry trends and best practices",1. Candidates with minimum 4 years of experience.,Competitive salary,Information above is Internshala's interpretation and paraphrasing of what we found on the shared link.,Starts Immediately,4-6 years,18 Mar' 24,0,None,None,Unknown,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Competitive salary,Competitive salary,Competitive salary
Bangalore,WordPress Developer,Webfluence,"Key responsibilities: 

1. Design and develop responsive and user-friendly web applications and websites using modern front-end and back-end technologies
2. Collaborate with designers, project managers, and other stakeholders to gather requirements, define project scope, and deliver solutions that meet client needs
3. Write clean, efficient, and well-documented code following industry best practices and coding standards
4. Implement and maintain website functionality, including e-commerce features, content management systems, and third-party integrations
5. Optimize web applications for maximum speed, scalability, and performance across different devices and browsers
6. Conduct thorough testing and debugging to ensure the functionality and reliability of web applications
7. Work on staying up-to-date with the latest trends and technologies in web development and incorporate them into our projects as needed
8. Provide technical support and troubleshooting assistance to clients and internal teams as needed",,"4,20,000 - 6,00,000","<div class=""text-container about_company_text_container"">
        Webfluence is a leading digital marketing agency dedicated to empowering businesses with innovative online strategies that drive growth and enhance brand visibility. Founded on the principles of creativity, expertise, and cutting-edge technology, we specialize in delivering tailored solutions to meet the unique needs of each client.    </div>",Starts Immediately,0-5 years,23 Mar' 24,121,"CSS
HTML
JavaScript
Node.js
Python
WordPress",5 days a week,3.0,"1. Bachelor’s degree in computer science, information technology, or related field                

                    2. Proven experience as a full stack web developer, with a strong portfolio showcasing your work                

                    3. Proficiency in front-end technologies such as HTML5, CSS3, JavaScript, and modern JavaScript frameworks (e.g., React, Angular, Vue)                

                    4. Experience with back-end technologies such as Node.js, Python, Ruby on Rails, or PHP                

                    5. Solid understanding of database management systems, including SQL and NoSQL databases                

                    6. Familiarity with version control systems (e.g., Git) and agile development methodologies                

                    7. Excellent problem-solving skills and attention to detail                

                    8. Strong communication and collaboration skills",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,420000,600000,510000.0
Work from home,Junior Machine Learning Specialist,"HackerPulse (San Francisco, United States)","Hackerpulse is a new and growing company. We help software engineers showcase their skills using AI-powered profiles. As a machine learning engineer, you will have the opportunity to contribute to the development and implementation of advanced Machine Learning (ML) and Natural Language Processing (NLP) solutions. You will play a crucial role in taking the innovative work done by our research team and turning it into practical solutions for production deployment. By applying to this job you agree to receive communication from us.

Key responsibilities: 

1. Contribute to the development of software and solutions, emphasizing ML/NLP as a key component, to productize research goals and deployable services
2. Collaborate closely with the frontend team and research team to integrate machine learning models into deployable services
3. Utilize and develop state-of-the-art algorithms and models for NLP/ML, ensuring they align with the product and research objectives
4. Perform thorough analysis to improve existing models, ensuring their efficiency and effectiveness in real-world applications
5. Engage in data engineering tasks to clean, validate, and preprocess data for uniformity and accuracy, supporting the development of robust ML models
6. Stay abreast of new developments in research and engineering in NLP and related fields, incorporating relevant advancements into the product development process
7. Actively participate in agile development methodologies within dynamic research and engineering teams, adapting to evolving project requirements
8. Collaborate effectively within cross-functional teams, fostering open communication and cooperation between research, development, and frontend teams
9. Actively contribute to building an open, transparent, and collaborative engineering culture within the organization
10. Demonstrate strong software engineering skills to ensure the reliability, scalability, and maintainability of deployable ML services
11. Take ownership of the end-to-end deployment process, including the deployment of ML models to production environments
12. Work on continuous improvement of deployment processes and contribute to building a seamless pipeline for deploying and monitoring ML models in real-world applications",1. Candidate must be available to work from 12:30 pm - 8:30 pm Indian Standard Time (as the company is based outside of India & their local work timings are 9:00 am - 5:00 pm Eastern European Time)," 15,000 - 35,000","<div class=""text-container about_company_text_container"">
        We at HackerPulse help software engineers to showcase their skills, verified through adaptive testing and data analysis. We use ML to analyse data from GitHub, StackOverflow, Hacker News, LinkedIn and academic papers to create a comprehensive user profile.    </div>",Starts Immediately,0-2 years,6 Mar' 24,1000,"Data Analytics
Data Science
Deep Learning
Machine Learning
Natural Language Processing (NLP)
Python",None,2.0,"1. Degree in Computer Science or related discipline or equivalent practical experience, with a strong emphasis on machine learning and natural language processing                

                    2. Proven experience and in-depth knowledge of ML techniques, with a focus on implementing deep-learning approaches for NLP tasks in the context of productizing research goals                

                    3. Ability to apply engineering best practices to make architectural and design decisions aligned with functionalities, user experience, performance, reliability, and scalability in the development of deployable ML services                

                    4. Substantial experience in software development using Python, Java, and/or C or C++, with a particular emphasis on integrating machine learning models into production-ready software solutions                

                    5. Demonstrated problem-solving skills, showcasing the ability to address complex situations effectively, especially in the context of improving models, data engineering, and deployment processes                

                    6. Strong interpersonal and communication skills, essential for effective collaboration within cross-functional teams consisting of research, development, and frontend teams                

                    7. Proven time management skills to handle dynamic and agile development situations, ensuring timely delivery of solutions in a fast-paced environment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,35000,25000.0
Bangalore,Node.js Developer,Admin Looks,"Looking for the Senior Node.JS Developer Immediately

As a Node.js Developer, you will be responsible to develop and build using the back-end framework, NodeJS! You will be given the opportunity to pick up emerging technology, working with the latest technologies.
Job Descriptions:

Understanding accessibility and security compliance (according to project requirements)
Understanding fundamental design principles behind a scalable application
User authentication and authorization between multiple systems, servers, and environments
Familiarity with limitations and workarounds of Node.JS
Creating database schemas that represent and support business processes
Basic experience with SQL/NoSQL databases
Ensure the performance, quality, and responsiveness of applications
Hands-on experience in developing applications for NotedJS and API Gateways
Experience working with any cloud platform on API Gateways.
Knowledge of DevOps, API & database systems.
Minimum 3 years of professional experience in the technology industry.
Requirements:

Bachelor's degree in Computer Science, Engineering, or a related field (or equivalent work experience).
3 years & above experience in IT/Computer - Software or equivalent.
In-depth understanding of nodeJS frameworks.
Basic understanding of JavaScript, HTML5, and CSS3
Proficient understanding of code versioning tools, such as Git
Experience with JSON concepts and REST APIs
Strong experience in managing cloud infrastructure
Familiarity with front-end technologies (HTML5,CSS3,JavaScript) and frameworks (React,Angular,Vue.js ) is a plus
Strong problem-solving skills and ability to work in a fast-paced environment
Excellent communications and teamwork skillsInterested applicants are requested to share their updated CV to amit.kr@adminlooks.com or can talk directly to Mr. Amit Kumar at +91 9560644974",1. Candidates with minimum 4 years of experience.,"7,00,000 - 12,00,000",Information above is Internshala's interpretation and paraphrasing of what we found on the shared link.,Starts Immediately,4-6 years,4 Mar' 24,0,None,None,Unknown,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,1200000,950000.0
Work from home,.NET Developer,ISOCONIC,"ISOCONIC is seeking an exceptional .NET developer with a solid understanding of JavaScript and HTML to join our dynamic team. As a .NET developer, you will play a vital role in developing cutting-edge software solutions that drive our business forward. If you are passionate about creating robust and scalable applications, we want to hear from you!

Key responsibilities:

1. Collaborate with cross-functional teams to design, develop, and implement innovative software solutions using .NET technologies
2. Write clean, maintainable, and efficient code while adhering to coding best practices and industry standards
3. Develop new features and functionality for our existing software products, ensuring high performance and responsiveness
4. Conduct thorough testing and debugging of applications to identify and resolve any issues or bugs
5. Optimize applications for maximum speed and scalability, ensuring a seamless user experience
6. Stay up-to-date with the latest trends and advancements in .NET development, JavaScript, and HTML technologies, and leverage this knowledge to enhance our software products
7. Collaborate with the QA team to conduct rigorous testing and quality assurance checks throughout the software development lifecycle

At ISOCONIC, we foster a collaborative and innovative work environment where your ideas and expertise will be valued. Join us to be part of a team that pushes boundaries and makes a meaningful impact in the world of software development. Don't miss this opportunity to take your career to new heights!",,"4,00,000 - 7,00,000","ISOCONIC is a Mumbai-based software & digital marketing solution provider, having 5 branch offices across India. We are here to hire new talent & boost inner capabilities along with productivity.",Starts Immediately,0-1 years,16 Mar' 24,440,"HTML
JavaScript",5 days a week,6.0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,700000,550000.0
Work from home,Junior Python Developer,Fastek Solutions,"As a Junior Python Developer at Fastek Solutions, you will be responsible for working on exciting projects that leverage the power of Python to create innovative solutions for our clients. Your creativity and problem-solving skills will be crucial in developing high-quality code and contributing to the success of our team. 

Key responsibilities:

1. Collaborate with senior developers to design and implement software solutions using Python
2. Write clean, efficient, and maintainable code to meet project requirements
3. Troubleshoot and debug issues to ensure the smooth functioning of our applications
4. Conduct thorough testing to identify and fix bugs before deployment
5. Stay updated on the latest trends and technologies in the Python development community
6. Participate in code reviews to provide feedback and improve overall code quality
7. Communicate effectively with team members to ensure project timelines are met and objectives are achieved

If you are passionate about Python and eager to grow your skills in a fast-paced environment, apply now to join our dynamic team at Fastek Solutions. Your contributions will make a direct impact on the success of our projects and the satisfaction of our clients.",,"4,00,000 - 7,00,000","Fastek Solutions deals with digital marketing, AMC, maintenance & all other IT services.",Starts Immediately,0-1 years,28 Mar' 24,1000,Python,5 days a week,6.0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,700000,550000.0
Delhi,Programmer (Teacher),ByteXL India Private Limited,"Key responsibilities: 

1. Teach the various steps involved in programming development
2. Teach the basic concepts of linear and non-linear data structures
3.  Teach how to learn and write modular and readable c programming","1.  Those who are from or open to relocate to Delhi, Vadodara and neighboring cities","5,00,000 - 12,00,000","<div class=""text-container about_company_text_container"">
        byteXL is the first-ever learning platform with an in-built advanced coding editor for self-motivated education, guided training, and placement support. ByteXL offers various training programs for engineering students in Online, Offline, and Hybrid training modes. Our program runs throughout the graduation making students IT-Career ready.<br/>
<br/>
We are also one of the leading EdTechs in India growing higher at an exponential rate. Our clients praise us for the quality of the content, delivering methodologies, and exam readiness towards the students. We are proud to say, we are driven by the passion to train the next Gen corporate employees from the first year of their Undergrad Program.     </div>",Starts Immediately,0-5 years,7 Mar' 24,91,"C Programming
Data Structures",Cab/Transportation facility,10.0,Candidates should be ready for training or teaching students in college campuses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,1200000,850000.0
Bangalore,Apprentice - Data Exchange And Interoperability,Innovaccer Analytics Private Limited,"As an apprentice - data exchange and interoperability, you will play a crucial role in working with some of the largest healthcare organizations and IT vendors. You will engage with top-level management across the US healthcare landscape to explore and facilitate data interoperability with various systems. This role will also involve deploying solutions on practice systems and testing various data input connections.

Key responsibilities:

1. Develop and maintain relationships with US healthcare provider organizations and IT vendors
2. Strategically acquire data for our top customers
3. Deploy Innovaccer solutions on host systems
4. Test the connectivity and functionality of deployed solutions
5. Track and maintain progress of ongoing developments
6. Coordinate with customers and internal teams to set up business and technical meetings
7. Conduct secondary research and document relevant information
8. Facilitate customer meetings and presentations
9. Engage in dialogue to understand customer requirements and expectations
10. Manage internal and external sign-offs
11. Meet reasonable internal and external turnaround times

Requirements:

1. Experience working with US clients in a customer-facing role such as strategic account manager, project manager, or equivalent (3+ years preferred)
2. Good understanding of healthcare business, patient workflows, and healthcare organizational models (ACOs, CINs, HMOs, Payers, HIEs, MSOs, etc.)
3. Hands-on experience with US healthcare data systems (EMRs, PM Systems, Lab systems, PBMs, etc.)
4. Familiarity with US healthcare data formats (CCDA, X12, HL7, FHIR, etc.) and data exchange methodologies (SFTP, APIs, TCP, Snowflake, IHE, etc.)
5. Experience with tracking tools like JIRA, Confluence, or equivalent
6. Strong knowledge of handling multiple accounts and time-bound task execution
7. Understanding of Microsoft Windows OS and Linux operating systems
8. Persistence and diligence in problem-solving
9. Excellent verbal and written communication skills in English
10. Technical know-how of IT systems, databases, and file formats
11. Ability to build credibility with the audience
12. Natural business acumen to meet customer goals
13. Self-starter capable of thriving in unstructured situations
14. Organized and meticulous in maintaining progress reports and sign-offs",1.  Those who are from or open to relocate to Bangalore,"2,30,000 - 2,40,000","<div class=""text-container about_company_text_container"">
        Innovaccer is a leading healthcare data platform company focused on delivering more efficient and effective healthcare through the use of pioneering analytics and transparent, clean, and accurate data. Innvoaccer's aim is to simplify complex data from all points of care, streamline the information, and help organizations make powerful decisions and realize strategic goals based on key insights and predictions from their data. Its products have been deployed across more than 500 locations with over 10,000 providers leveraging it at institutions, governmental organizations, and several corporate enterprises. Innovaccer is based in San Francisco with offices around the United States and Asia.    </div>",Starts Immediately,0-1 years,15 Mar' 24,196,"Amazon Web Server (AWS)
Business Analysis
Business Research
Data Analysis
Effective Communication
Jira
Linux
Microsoft Azure
MS-PowerPoint
Project Management","Informal dress code
 5 days a week
 Free snacks & beverages",2.0,None,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230000,240000,235000.0
